,loss,categorical_accuracy,val_loss,val_categorical_accuracy
0,2.5985453128814697,0.2136821150779724,1.727560043334961,0.4487403333187103
1,1.7508786916732788,0.42512738704681396,1.447174310684204,0.5387877225875854
2,1.503132939338684,0.5077047348022461,1.3810702562332153,0.5584933757781982
3,1.3450088500976562,0.5667950510978699,1.337562084197998,0.5752058029174805
4,1.2366766929626465,0.5993537902832031,1.289090871810913,0.5914192795753479
5,1.1453543901443481,0.6263203620910645,1.2999039888381958,0.5939136743545532
6,1.0801576375961304,0.6504287123680115,1.2615447044372559,0.6081317067146301
7,1.0207422971725464,0.6692556142807007,1.2805719375610352,0.6156148910522461
8,0.9589969515800476,0.6906300187110901,1.2879760265350342,0.6123721599578857
9,0.8873053193092346,0.7105753421783447,1.2827627658843994,0.622100293636322
